,Make,Model,Investigation_Type,Event_Date,Aircraft_damage,Amateur_Built,Number_of_Engines,Engine_Type,Purpose_of_flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured
49273,Piper,PA-32R-301,Accident,2000-03-09,Destroyed,No,1.0,reciprocating,Personal,3.0,0.0,0.0,0.0
49274,North American,SNJ-5,Accident,2000-03-09,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,1.0
49276,Beech,B-95,Accident,2000-04-09,Substantial,No,2.0,reciprocating,Personal,1.0,0.0,0.0,0.0
49277,Cessna,150F,Accident,2000-04-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49278,Piper,PA-18,Accident,2000-04-09,Substantial,No,1.0,reciprocating,Business,0.0,0.0,0.0,1.0
49281,Williams,WILLIAMS MITE M18L,Accident,2000-05-09,Substantial,Yes,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49283,Cessna,170A,Accident,2000-05-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49284,Stinson,108-3,Accident,2000-05-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49287,Air Tractor,402B,Accident,2000-06-09,Substantial,No,1.0,turbo prop,Aerial Application,0.0,0.0,0.0,1.0
49288,Beech,BE58,Accident,2000-06-09,Substantial,No,2.0,reciprocating,Positioning,0.0,0.0,0.0,2.0
49289,Cessna,188B,Accident,2000-06-09,Substantial,No,1.0,reciprocating,Aerial Application,0.0,0.0,1.0,0.0
49292,Bell,206-L1,Accident,2000-07-09,Substantial,No,1.0,turbo shaft,Positioning,0.0,1.0,0.0,0.0
49293,Piper,PA-24-260,Accident,2000-07-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49294,Cessna,177RG,Accident,2000-07-09,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
49295,Piper,PA-60-601P,Accident,2000-07-09,Substantial,No,2.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49296,Beech,A36TC,Accident,2000-07-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49297,Piper,PA-28-180,Accident,2000-07-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49298,Cessna,177RG,Accident,2000-07-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,4.0
49299,Grumman-schweizer,G-164B,Accident,2000-07-09,Substantial,No,1.0,reciprocating,Aerial Application,0.0,0.0,0.0,1.0
49300,Cessna,340A,Accident,2000-07-09,Substantial,No,2.0,reciprocating,Business,0.0,0.0,0.0,4.0
49302,Bell,UH-1H,Accident,2000-07-09,Destroyed,No,1.0,turbo shaft,Positioning,2.0,0.0,0.0,0.0
49303,Hughes,269C,Accident,2000-07-09,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
49304,Mooney,M20L,Accident,2000-08-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49305,Carlson,CA-8,Accident,2000-08-09,Substantial,Yes,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
49306,Cessna,172P,Accident,2000-08-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
49307,Lake,LA-4-200,Accident,2000-08-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49308,Cessna,A185F,Accident,2000-08-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49309,Cessna,182S,Accident,2000-08-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,3.0
49310,Beech,B19,Accident,2000-08-09,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
49311,Cessna,180,Accident,2000-08-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49312,Piper,PA-22-108,Accident,2000-08-09,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
49313,Beech,33-F33A,Accident,2000-09-09,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,1.0
49314,Cessna,120,Accident,2000-09-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49315,Mooney,M20,Accident,2000-09-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
49316,Cessna,R172K,Accident,2000-09-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,3.0
49317,Beech,A36TC,Accident,2000-09-09,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
49319,Grumman,G164A,Accident,2000-09-09,Substantial,No,1.0,reciprocating,Aerial Application,0.0,0.0,0.0,1.0
49320,Bell,47G-3B-2,Accident,2000-09-09,Substantial,No,1.0,turbo shaft,Aerial Application,0.0,0.0,0.0,1.0
49321,Beech,58P,Accident,2000-09-09,Destroyed,No,2.0,reciprocating,Personal,2.0,0.0,0.0,0.0
49325,Piper,PA-28-180,Accident,2000-10-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,4.0
49326,Grumman,AA-5B,Accident,2000-10-09,Substantial,No,1.0,reciprocating,Personal,1.0,1.0,0.0,0.0
49327,Piper,PA-28-140,Accident,2000-10-09,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
49328,Beech,B24,Accident,2000-10-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49329,Grumman,AA-5A,Accident,2000-10-09,Substantial,No,1.0,reciprocating,Personal,0.0,3.0,0.0,0.0
49330,Cessna,188,Accident,2000-10-09,Substantial,No,1.0,reciprocating,Other Work Use,0.0,0.0,0.0,1.0
49333,Cessna,172L,Accident,2000-11-09,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,1.0,0.0
49334,Piper,PA-18,Accident,2000-11-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49335,Piper,PA-31-350,Accident,2000-11-09,Substantial,No,2.0,reciprocating,Positioning,0.0,0.0,0.0,1.0
49336,Piper,PA-18,Accident,2000-11-09,Substantial,No,1.0,reciprocating,Business,0.0,1.0,0.0,1.0
49337,Piper,PA-28-180,Accident,2000-11-09,Destroyed,No,1.0,reciprocating,Personal,0.0,2.0,0.0,0.0
49338,Piper,PA-23-250,Accident,2000-11-09,Destroyed,No,2.0,reciprocating,Personal,2.0,0.0,0.0,0.0
49339,Piper,PA-28-161,Accident,2000-11-09,Destroyed,No,1.0,reciprocating,Instructional,2.0,0.0,0.0,0.0
49341,Cessna,172P,Accident,2000-12-09,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49342,Cessna,152,Accident,2000-12-09,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,1.0,1.0
49343,Beech,F-90,Accident,2000-12-09,Substantial,No,2.0,turbo prop,Instructional,0.0,0.0,0.0,2.0
49344,Cessna,182J,Accident,2000-12-09,Minor,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49346,Cessna,150H,Accident,2000-09-13,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,1.0,1.0
49347,Cessna,120,Accident,2000-09-13,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
49348,Bell,206B,Accident,2000-09-13,Substantial,No,1.0,turbo shaft,Aerial Application,0.0,0.0,0.0,1.0
49349,Cessna,120,Accident,2000-09-13,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,1.0
49350,Piper,PA-22,Accident,2000-09-13,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49353,Luscombe,8A,Accident,2000-09-14,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49354,Cessna,150L,Accident,2000-09-14,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49355,Air Tractor,AT-502,Accident,2000-09-14,Substantial,No,1.0,turbo prop,Aerial Application,1.0,0.0,0.0,0.0
49357,Champion,7GCBC,Accident,2000-09-14,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49359,Cessna,170B,Accident,2000-09-15,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,4.0
49360,Globe,GC-1B,Accident,2000-09-15,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49361,Piper,PA-28-161,Accident,2000-09-15,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
49362,Taylorcraft,20,Accident,2000-09-15,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49363,Piper,PA-28-181,Accident,2000-09-15,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,1.0
49364,Piper,PA-23-250,Accident,2000-09-15,Substantial,No,2.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49365,Piper,PA-18,Accident,2000-09-15,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49366,Cessna,182P,Accident,2000-09-16,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49367,Grumman,AA-5,Accident,2000-09-16,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,2.0
49368,Stevens,STARDUSTER II AS300,Accident,2000-09-16,Substantial,Yes,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
49369,Cessna,185F,Accident,2000-09-16,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,2.0,0.0
49370,Maule,M-7-235C,Accident,2000-09-16,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49371,Champion,7GCBC,Accident,2000-09-16,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,1.0
49372,Piper,PA-28-140,Accident,2000-09-16,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49373,Cessna,172L,Accident,2000-09-16,Minor,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49375,Aeronca,11AC-991,Accident,2000-09-17,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49376,Piper,PA-28-161,Accident,2000-09-17,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49377,Beech,H35,Accident,2000-09-17,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
49378,Bellanca,17-30A,Accident,2000-09-17,Substantial,No,1.0,reciprocating,Business,0.0,0.0,2.0,1.0
49379,Beech,S35,Accident,2000-09-17,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
49382,Cessna,152,Accident,2000-09-18,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,1.0,0.0
49383,Piper,PA-16,Accident,2000-09-18,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
49386,Cessna,150G,Accident,2000-09-19,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49387,Cessna,150K,Accident,2000-09-19,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49388,Piper,PA-18,Accident,2000-09-19,Substantial,No,1.0,reciprocating,Business,0.0,0.0,0.0,2.0
49389,Cessna,172M,Accident,2000-09-20,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,1.0,0.0
49390,Boeing Stearman,D75N1,Accident,2000-09-20,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
49391,Piper,PA-31-325,Accident,2000-09-20,Substantial,No,2.0,reciprocating,Business,0.0,0.0,1.0,0.0
49393,Cessna,150G,Accident,2000-09-20,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
49395,Bell,206-L4,Accident,2000-09-21,Substantial,No,1.0,turbo shaft,Public Aircraft,0.0,0.0,0.0,1.0
49396,Schweizer,G-164B,Accident,2000-09-21,Substantial,No,1.0,turbo prop,Aerial Application,0.0,0.0,0.0,1.0
49397,Pzl-mielec,M-18A,Accident,2000-09-21,Substantial,No,1.0,reciprocating,Aerial Application,0.0,0.0,1.0,0.0
49398,Cessna,172,Accident,2000-09-21,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
49399,Cessna,182S,Accident,2000-09-21,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
49400,Piper,PA-28-140,Accident,2000-09-21,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49401,Aeronca,15AC,Accident,2000-09-21,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49405,Piper,PA-22-150,Accident,2000-09-22,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49406,Grumman-schweizer,G-164B,Accident,2000-09-22,Substantial,No,1.0,reciprocating,Aerial Application,0.0,0.0,0.0,1.0
49407,Bell,206B,Accident,2000-09-22,Substantial,No,1.0,turbo shaft,Other Work Use,0.0,0.0,0.0,1.0
49408,Bell,47G-5A,Accident,2000-09-22,Substantial,No,1.0,reciprocating,Public Aircraft,0.0,0.0,1.0,1.0
49410,Cessna,182G,Accident,2000-09-22,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
49412,Cessna,172,Accident,2000-09-23,Substantial,No,1.0,reciprocating,Instructional,0.0,2.0,0.0,0.0
49414,Cessna,208B,Accident,2000-09-23,Substantial,No,1.0,turbo prop,Executive/corporate,0.0,0.0,1.0,0.0
49415,Piper,PA-22-135,Accident,2000-09-23,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
49416,Robinson,R-22B,Accident,2000-09-23,Substantial,No,1.0,reciprocating,Instructional,0.0,1.0,1.0,0.0
49417,Eurocopter,AS-350B-3,Accident,2000-09-23,Substantial,No,1.0,turbo shaft,Instructional,0.0,0.0,0.0,2.0
49419,Hughes,269B,Accident,2000-09-24,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,3.0,0.0
49420,Morrison,RANS-12,Accident,2000-09-24,Substantial,Yes,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
49422,Robinson,R-22,Accident,2000-09-25,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
49423,North American,T-28D,Accident,2000-09-25,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49424,Culver,LFA,Accident,2000-09-25,Destroyed,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
49425,Cessna,152,Accident,2000-09-25,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
49426,Aeronca,11BC,Accident,2000-09-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49427,Piper,PA-28-140,Accident,2000-09-26,Substantial,No,1.0,reciprocating,Instructional,0.0,1.0,1.0,0.0
49428,Beech,95-55,Accident,2000-09-26,Substantial,No,2.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
49429,Douglas,DC-3,Accident,2000-09-26,Substantial,No,2.0,reciprocating,Positioning,0.0,0.0,0.0,2.0
49430,Piper,PA-28-235,Accident,2000-09-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49431,Cessna,172P,Accident,2000-09-26,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
49432,Piper,PA-28-235,Accident,2000-09-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,4.0
49433,Piper,PA-18,Accident,2000-09-26,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49437,Hughes,269B,Accident,2000-09-27,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
49438,Air Tractor,AT-602,Accident,2000-09-27,Substantial,No,1.0,turbo prop,Aerial Application,0.0,0.0,0.0,1.0
49439,Mooney,M20S,Accident,2000-09-27,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
49440,Cessna,182Q,Accident,2000-09-27,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,1.0
49441,Cessna,172K,Accident,2000-09-28,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49442,Grumman American,AA-1B,Accident,2000-09-28,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
49443,Piper,PA-18-105,Accident,2000-09-28,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49447,Hughes,TH-55A,Accident,2000-09-29,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
49449,Cessna,188B,Accident,2000-09-29,Destroyed,No,1.0,reciprocating,Aerial Application,1.0,0.0,0.0,0.0
49451,Piper,PA-32-260,Accident,2000-09-29,Destroyed,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
49452,Boeing,E75,Accident,2000-09-30,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49453,Porterfield,LP65,Accident,2000-09-30,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
49455,Cessna,150H,Accident,2000-09-30,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49456,Luscombe,8A,Accident,2000-09-30,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
49458,Piper,PA-38,Accident,2000-09-30,Destroyed,No,1.0,reciprocating,Personal,1.0,1.0,0.0,0.0
49459,Ercoupe,415-C,Accident,2000-09-30,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
49462,Piper,PA-32-300,Accident,2000-01-10,Substantial,No,1.0,reciprocating,Personal,1.0,3.0,0.0,0.0
49463,Piper,PA-22-160,Accident,2000-01-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49464,Cessna,150L,Accident,2000-01-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49465,Maule,M-7-235B,Accident,2000-01-10,Substantial,No,1.0,reciprocating,Business,0.0,0.0,0.0,4.0
49466,Piper,PA-28-181,Accident,2000-01-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,1.0
49467,Piper,PA-18-160,Accident,2000-01-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49468,Beech,A36TC,Accident,2000-01-10,Destroyed,No,1.0,reciprocating,Personal,4.0,0.0,0.0,0.0
49471,Maule,M-5,Accident,2000-02-10,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
49472,Bell,206-L1,Accident,2000-02-10,Substantial,No,1.0,turbo shaft,Aerial Application,0.0,1.0,0.0,0.0
49474,Piper,PA-44-180,Accident,2000-02-10,Destroyed,No,2.0,reciprocating,Personal,1.0,0.0,0.0,0.0
49475,Aerospatiale,AS350BA,Accident,2000-03-10,Substantial,No,1.0,turbo shaft,Positioning,0.0,0.0,0.0,2.0
49476,Robinson,R22 BETA,Accident,2000-03-10,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,1.0,1.0
49480,Cessna,210,Accident,2000-04-10,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
49481,Cessna,150M,Accident,2000-04-10,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
49482,Cessna,182S,Accident,2000-04-10,Destroyed,No,1.0,reciprocating,Business,1.0,0.0,0.0,0.0
49487,Mooney,M20K,Accident,2000-05-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
49489,Beech,BE-23,Accident,2000-06-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49490,Helio,H-295,Accident,2000-06-10,Substantial,No,1.0,reciprocating,Positioning,0.0,0.0,1.0,0.0
49492,Mitsubishi,MU-2B-26A,Accident,2000-06-10,Destroyed,No,2.0,turbo prop,Personal,4.0,0.0,0.0,0.0
49493,Piper,PA-34-200,Accident,2000-06-10,Destroyed,No,2.0,reciprocating,Instructional,2.0,0.0,0.0,1.0
49495,Cessna,172M,Accident,2000-06-10,Destroyed,No,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
49497,Boeing,B75-N1,Accident,2000-07-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49498,Aeronca,7AC,Accident,2000-07-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49499,Cessna,172H,Accident,2000-07-10,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
49500,Mcdonnell Douglas,369E,Accident,2000-07-10,Substantial,No,1.0,turbo shaft,Positioning,0.0,0.0,1.0,0.0
49501,Cessna,180,Accident,2000-07-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49502,Wsk Pzl Warzawa-okecie,PZL-104 WILGA 80,Accident,2000-08-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,2.0,0.0
49503,Cessna,182,Accident,2000-08-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49506,Cessna,152,Accident,2000-09-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49507,Cessna,P210N,Accident,2000-09-10,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
49509,Beech,BE-23-B24R,Accident,2000-10-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49511,Cessna,401A,Accident,2000-10-10,Substantial,No,2.0,reciprocating,Personal,0.0,1.0,0.0,0.0
49512,Piper,PA-23-160,Accident,2000-10-10,Substantial,No,2.0,reciprocating,Business,1.0,1.0,0.0,0.0
49513,Hughes,369FF,Accident,2000-10-10,Substantial,No,1.0,turbo shaft,Other Work Use,0.0,1.0,0.0,0.0
49514,Beech,E18S,Accident,2000-10-10,Destroyed,No,2.0,reciprocating,Positioning,1.0,0.0,0.0,0.0
49518,Canadair,CL600-2B16,Accident,2000-10-10,Destroyed,No,2.0,turbo fan,Flight Test,2.0,1.0,0.0,0.0
49520,American Aviation Corp. (aac),AA-1A,Accident,2000-11-10,Substantial,No,1.0,reciprocating,Aerial Observation,0.0,0.0,1.0,1.0
49521,Piper,PA-28-140,Accident,2000-11-10,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,1.0,0.0
49523,Cessna,172K,Accident,2000-11-10,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
49524,Piper,PA-18,Accident,2000-11-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49526,Piper,PA-60-601P,Accident,2000-12-10,Substantial,No,2.0,reciprocating,Personal,0.0,1.0,0.0,4.0
49528,Cessna,170B,Accident,2000-12-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49529,Bellanca,BL17-30,Accident,2000-12-10,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,2.0,0.0
49530,Republic,RC-3,Accident,2000-12-10,Substantial,No,1.0,reciprocating,Ferry,0.0,0.0,0.0,2.0
49531,Beech,BE-A36,Accident,2000-12-10,Substantial,No,1.0,reciprocating,Positioning,0.0,0.0,0.0,1.0
49532,Beech,B19,Accident,2000-12-10,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
49533,Aerospatiale,AS350-BH,Accident,2000-10-13,Substantial,No,1.0,turbo shaft,Instructional,0.0,0.0,0.0,2.0
49534,Pitts,S-1A,Accident,2000-10-13,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,1.0,0.0
49535,Cessna,172-B,Accident,2000-10-13,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,1.0,1.0
49536,Navion,G,Accident,2000-10-13,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
49538,North American,AT-6G,Accident,2000-10-14,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49539,Cessna,172,Accident,2000-10-14,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
49540,Cessna,172G,Accident,2000-10-14,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,3.0,1.0
49542,Piper,PA-28R-200,Accident,2000-10-14,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49543,Cessna,310N,Accident,2000-10-14,Substantial,No,2.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49544,Cessna,172N,Accident,2000-10-14,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,1.0,1.0
49545,Piper,PA-32R-301T,Accident,2000-10-14,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49546,Cessna,150L,Accident,2000-10-14,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
49547,Robinson,R-22,Accident,2000-10-14,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
49549,Piper,PA-24-250,Accident,2000-10-14,Destroyed,No,1.0,reciprocating,Ferry,0.0,1.0,1.0,0.0
49550,Moore,STARDUSTER SA-300,Accident,2000-10-15,Substantial,Yes,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
49551,Piper,PA-28-181,Accident,2000-10-15,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49552,Yakovlev,52,Accident,2000-10-15,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49554,Beech,35-33,Accident,2000-10-15,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
49555,Piper,PA-32RT,Accident,2000-10-15,Destroyed,No,1.0,reciprocating,Business,1.0,3.0,1.0,0.0
49557,Aerospatiale,AS-355-F2,Accident,2000-10-16,Destroyed,No,2.0,turbo shaft,Ferry,1.0,0.0,0.0,0.0
49558,Cessna,335,Accident,2000-10-16,Destroyed,No,2.0,reciprocating,Business,3.0,0.0,0.0,0.0
49560,Cessna,185F,Accident,2000-10-17,Substantial,No,1.0,reciprocating,Business,0.0,0.0,0.0,2.0
49561,Robinson,R-22 BETA,Accident,2000-10-17,Substantial,No,1.0,reciprocating,Aerial Observation,0.0,0.0,2.0,0.0
49562,Gulfstream,G-1159A,Accident,2000-10-17,Minor,No,2.0,turbo jet,Positioning,0.0,0.0,0.0,6.0
49564,Boeing,B-727-61,Incident,2000-10-17,Minor,No,3.0,turbo jet,Public Aircraft,0.0,0.0,0.0,108.0
49565,Piper,PA-28-161,Accident,2000-10-18,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,2.0,1.0
49566,Beech,95-C55,Accident,2000-10-18,Substantial,No,2.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49567,Air Tractor,AT-301,Accident,2000-10-18,Destroyed,No,1.0,reciprocating,Aerial Application,1.0,0.0,0.0,0.0
49568,Cessna,172M,Accident,2000-10-19,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
49569,Beech,300,Accident,2000-10-19,Substantial,No,2.0,turbo prop,Positioning,0.0,1.0,1.0,1.0
49570,Cessna,188B,Accident,2000-10-19,Destroyed,No,1.0,reciprocating,Aerial Application,0.0,1.0,0.0,0.0
49571,Beech,95-C55,Accident,2000-10-19,Destroyed,No,2.0,reciprocating,Instructional,2.0,0.0,0.0,0.0
49573,Beech,BE-23-24,Accident,2000-10-20,Substantial,No,1.0,reciprocating,Personal,3.0,1.0,0.0,0.0
49574,Piper,PT-46,Accident,2000-10-20,Substantial,No,1.0,turbo prop,Personal,0.0,0.0,0.0,1.0
49575,Beech,A36,Accident,2000-10-20,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
49580,Piper,PA-44-180,Accident,2000-10-21,Substantial,No,2.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
49582,Cessna,150L,Accident,2000-10-21,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
49583,Boeing,A75N1 (PT17),Accident,2000-10-21,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
