,Make,Model,Investigation_Type,Event_Date,Aircraft_damage,Amateur_Built,Number_of_Engines,Engine_Type,Purpose_of_flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured
82713,Cessna,152,Accident,2018-12-29,Substantial,No,1.0,reciprocating,Personal,0.0,2.0,0.0,0.0
82714,Cessna,R172K,Accident,2018-12-29,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
82715,Cessna,172,Accident,2018-12-30,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
82716,Piper,PA46,Accident,2018-12-30,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,4.0
82718,Piper,PA 23,Accident,2018-12-31,Destroyed,No,2.0,reciprocating,Personal,1.0,0.0,0.0,0.0
82720,CESSNA,LC41,Accident,2018-12-31,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82721,Robinson,R44,Accident,2019-01-01,Substantial,No,1.0,reciprocating,Aerial Observation,0.0,3.0,0.0,0.0
82722,Robinson,R44,Accident,2019-02-01,Substantial,No,1.0,reciprocating,Aerial Observation,0.0,1.0,1.0,1.0
82723,Cessna,172,Accident,2019-02-01,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
82724,Progressive Aerodyne,SEAREY,Accident,2019-02-01,Substantial,Yes,1.0,reciprocating,Personal,1.0,1.0,0.0,0.0
82725,Cessna,180,Accident,2019-02-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,2.0,0.0
82726,Piper,PA 18-135,Accident,2019-03-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
82727,Piper,PA24,Accident,2019-03-01,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,2.0
82729,Robinson,R44,Accident,2019-03-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82732,Beech,24,Accident,2019-04-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,3.0
82733,Luscombe,8,Accident,2019-05-01,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,1.0,0.0
82734,Cessna,T210,Accident,2019-06-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,4.0
82735,Cessna,182,Accident,2019-06-01,Substantial,No,1.0,reciprocating,Skydiving,0.0,0.0,0.0,5.0
82736,Piper,PA28,Accident,2019-06-01,Substantial,No,1.0,reciprocating,Instructional,0.0,0.0,0.0,1.0
82738,Bellanca,1730,Accident,2019-07-01,Destroyed,No,1.0,reciprocating,Personal,2.0,0.0,0.0,0.0
82739,Beech,A36,Accident,2019-07-01,Destroyed,No,1.0,turbo prop,Personal,2.0,0.0,0.0,0.0
82740,Robinson,R44,Accident,2019-08-01,Substantial,No,1.0,reciprocating,Instructional,0.0,1.0,0.0,1.0
82743,Cessna,T210,Accident,2019-10-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
82744,AEROSPATIALE,AS350,Accident,2019-11-01,Substantial,No,1.0,turbo shaft,Positioning,0.0,0.0,0.0,2.0
82745,Bell,47G,Accident,2019-11-01,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,2.0
82746,Bell,206,Accident,2019-12-01,Substantial,No,1.0,turbo shaft,Other Work Use,0.0,0.0,1.0,0.0
82747,Canadair,CL 600 2A12,Accident,2019-12-01,Substantial,No,2.0,turbo fan,Business,0.0,0.0,0.0,9.0
82748,Vans,RV8,Accident,2019-12-01,Substantial,Yes,1.0,reciprocating,Personal,1.0,0.0,1.0,0.0
82750,Piper,PA22,Accident,2019-01-13,Substantial,No,1.0,reciprocating,Personal,1.0,0.0,1.0,0.0
82751,Beech,35,Accident,2019-01-13,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
82752,Piper,PA-32R-300,Accident,2019-01-13,Substantial,No,1.0,reciprocating,Personal,0.0,2.0,0.0,0.0
82753,Piper,PA28,Accident,2019-01-13,Substantial,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
82754,Piper,PA28,Accident,2019-01-15,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82755,Champion,7GCBC,Accident,2019-01-16,Substantial,No,1.0,reciprocating,Personal,0.0,0.0,0.0,1.0
82756,Piper,PA23,Accident,2019-01-17,Destroyed,No,2.0,reciprocating,Personal,1.0,0.0,0.0,0.0
82757,Beech,36,Accident,2019-01-17,Destroyed,No,1.0,reciprocating,Personal,1.0,0.0,0.0,0.0
82759,Piper,PA24,Accident,2019-01-18,Substantial,No,1.0,reciprocating,Personal,0.0,1.0,0.0,0.0
82760,Champion,7ECA,Accident,2019-01-19,Substantial,No,1.0,reciprocating,Personal,0.0,2.0,0.0,0.0
82761,Rutan,VARIEZE,Accident,2019-01-19,Substantial,Yes,1.0,reciprocating,Personal,0.0,1.0,0.0,1.0
82763,Stinson,108,Accident,2019-01-19,Substantial,No,1.0,reciprocating,Personal,0.0,3.0,1.0,0.0
